Postal code,Antal_laeger,Stationer
1358,,1
1570,,1
1612,,1
1705,,1
1868,,1
1924,,1
2000,31.0,4
2004,,1
2005,,2
2006,,1
2008,,1
2011,,1
2019,,2
2023,,1
2100,34.0,2
2108,,1
2139,,1
2152,,1
2154,,1
2161,,1
2162,,1
2165,,1
2167,,1
2170,,1
2171,,1
2172,,1
2173,,1
2179,,1
2180,,1
2184,,1
2300,36.0,1
2400,12.0,2
2450,4.0,1
2500,16.0,6
2605,7.0,1
2610,10.0,1
2620,12.0,1
2630,10.0,2
2635,3.0,1
2640,6.0,1
2650,17.0,4
2660,4.0,1
2665,4.0,1
2670,15.0,2
2680,4.0,2
2690,1.0,1
2700,14.0,1
2720,11.0,4
2730,8.0,1
2740,4.0,1
2750,11.0,2
2760,3.0,1
2770,16.0,2
2800,13.0,2
2820,12.0,3
2830,4.0,2
2840,6.0,1
2850,6.0,1
2860,13.0,2
2880,10.0,2
2900,7.0,3
2920,10.0,2
2930,2.0,1
2942,,1
2950,1.0,1
2960,2.0,1
2970,7.0,1
2990,3.0,1
3000,11.0,1
3050,4.0,1
3060,4.0,1
3070,,1
3200,3.0,1
3250,2.0,1
3300,4.0,1
3400,14.0,1
3450,6.0,1
3460,9.0,1
3480,3.0,1
3500,8.0,2
3520,5.0,1
3600,6.0,2
3650,3.0,1
3660,2.0,1
3670,,1
4000,26.0,1
4130,2.0,1
4140,1.0,1
4171,1.0,1
4180,4.0,1
4220,3.0,1
4270,1.0,1
4293,1.0,1
4300,9.0,1
4320,1.0,1
4330,2.0,1
4340,2.0,1
4390,,1
4400,8.0,2
4420,1.0,1
4440,1.0,2
4450,1.0,1
4470,,1
4500,5.0,1
4550,1.0,1
4573,,1
4600,16.0,3
4621,,1
4622,1.0,1
4623,1.0,1
4652,1.0,1
4654,,1
4660,1.0,1
4673,,1
4681,2.0,1
4682,,1
4684,1.0,1
4690,4.0,1
4700,14.0,2
4750,1.0,1
4760,6.0,1
4840,2.0,1
4863,1.0,1
4900,4.0,1
4920,,1
4930,4.0,1
4990,1.0,1
5000,44.0,1
5250,3.0,2
5260,,2
5300,4.0,1
5492,1.0,2
5500,5.0,1
5550,1.0,1
5560,1.0,1
5580,1.0,1
5591,1.0,1
5592,,1
5600,6.0,1
5690,1.0,1
5700,14.0,1
5750,3.0,3
5771,1.0,2
5772,1.0,1
5792,1.0,1
5800,5.0,1
5900,5.0,1
5970,2.0,1
6200,15.0,1
6230,1.0,1
6261,1.0,2
6270,4.0,2
6300,3.0,1
6330,1.0,1
6360,1.0,1
6400,10.0,1
6500,3.0,1
6580,1.0,1
6600,6.0,1
6640,1.0,1
6650,1.0,1
6670,1.0,1
6690,1.0,1
6705,1.0,1
6710,3.0,2
6715,2.0,1
6731,,1
6740,3.0,2
6760,9.0,3
6771,,1
6780,2.0,4
6800,6.0,4
6840,1.0,1
6862,,1
6870,2.0,2
6880,1.0,1
6900,2.0,2
6920,2.0,1
6933,1.0,1
6940,,1
6950,3.0,2
6980,1.0,1
6990,2.0,1
7000,12.0,2
7080,3.0,1
7100,18.0,1
7300,1.0,1
7323,1.0,2
7330,2.0,1
7400,11.0,5
7430,3.0,1
7441,,1
7442,1.0,1
7480,2.0,1
7490,1.0,1
7560,,1
7570,,2
7600,6.0,2
7620,4.0,1
7700,8.0,2
7752,,2
7755,,1
7760,4.0,2
7790,1.0,3
7800,11.0,2
7830,1.0,1
7840,1.0,1
7850,1.0,1
7900,3.0,1
8000,43.0,1
8200,8.0,1
8260,7.0,1
8362,2.0,1
8370,4.0,1
8382,3.0,1
8600,17.0,2
8660,7.0,1
8680,2.0,2
8722,2.0,1
8800,13.0,2
8840,,1
8850,2.0,1
8860,1.0,1
8870,1.0,1
9000,27.0,2
9200,3.0,1
9230,1.0,1
9400,5.0,2
9500,7.0,1
9510,1.0,1
9520,1.0,1
9530,3.0,1
9700,7.0,1
9760,1.0,1
9800,11.0,2
9870,3.0,2
9900,7.0,2
9990,2.0,1
