Postal code,NumberOfHouses
1051,3
1052,1
1053,1
1054,1
1057,2
1068,1
1107,2
1112,1
1123,4
1124,1
1129,1
1130,1
1154,2
1157,1
1159,2
1161,3
1202,1
1203,1
1205,1
1208,1
1209,2
1211,1
1251,1
1253,2
1254,2
1255,1
1264,13
1265,1
1267,1
1268,1
1270,2
1302,6
1303,1
1304,1
1307,3
1308,1
1310,1
1311,1
1313,2
1316,1
1318,1
1352,1
1355,1
1357,2
1358,3
1363,1
1367,1
1370,1
1400,1
1401,14
1408,3
1411,1
1414,2
1415,2
1418,2
1420,2
1422,1
1424,1
1427,1
1428,1
1430,2
1432,9
1436,5
1437,3
1439,1
1455,1
1456,1
1458,1
1459,1
1466,1
1468,2
1470,1
1561,6
1562,1
1564,1
1568,1
1573,1
1600,3
1601,2
1608,1
1617,1
1618,1
1620,3
1650,1
1651,2
1663,1
1665,4
1666,3
1668,1
1669,2
1671,1
1674,3
1700,2
1702,1
1705,1
1707,1
1708,1
1720,2
1721,2
1722,1
1751,1
1754,1
1756,1
1772,1
1777,2
1799,16
1801,1
1803,1
1806,1
1807,2
1810,5
1812,1
1813,1
1814,2
1815,2
1820,6
1825,1
1826,1
1829,1
1850,1
1852,1
1855,2
1864,1
1868,1
1870,3
1871,3
1873,1
1874,1
1875,1
1876,1
1878,1
1879,7
1902,1
1903,1
1904,1
1905,1
1910,2
1911,1
1913,1
1914,1
1916,1
1927,1
1960,2
1966,1
1970,3
1973,1
2000,105
2100,178
2150,24
2200,67
2300,293
2400,34
2450,64
2500,122
2600,51
2605,45
2610,98
2620,22
2625,17
2630,135
2635,43
2640,50
2650,77
2660,16
2665,30
2670,114
2680,79
2690,41
2700,79
2720,56
2730,42
2740,18
2750,48
2760,12
2765,54
2770,95
2791,86
2800,110
2820,71
2830,66
2840,79
2850,19
2860,97
2870,20
2880,43
2900,109
2920,92
2930,33
2942,19
2950,39
2960,51
2970,121
2980,26
2990,27
3000,112
3050,54
3060,47
3070,18
3080,8
3100,32
3120,5
3140,24
3150,1
3200,71
3210,18
3220,8
3230,38
3250,48
3300,52
3310,5
3320,19
3330,4
3360,6
3370,3
3390,32
3400,122
3450,59
3460,81
3480,59
3490,7
3500,59
3520,54
3540,21
3550,29
3600,77
3630,28
3650,46
3660,33
3670,7
3700,61
3720,24
3730,24
3740,12
3751,10
3760,8
3770,12
3782,2
3790,17
4000,200
4030,18
4040,35
4050,25
4060,14
4070,30
4100,91
4130,25
4140,12
4160,13
4171,13
4173,6
4174,6
4180,56
4190,4
4200,157
4220,53
4230,33
4241,11
4242,6
4243,4
4250,12
4261,12
4262,9
4270,17
4281,16
4291,12
4293,23
4295,16
4296,8
4300,98
4305,10
4320,23
4330,22
4340,29
4350,9
4360,4
4370,10
4390,17
4400,83
4420,15
4440,24
4450,16
4460,5
4470,8
4480,3
4490,11
4500,38
4520,15
4532,14
4534,18
4540,18
4550,17
4560,22
4571,9
4572,1
4573,14
4581,12
4583,5
4591,8
4592,1
4593,3
4600,196
4621,21
4622,14
4623,24
4632,17
4640,26
4652,23
4653,20
4654,9
4660,22
4671,10
4672,6
4673,17
4681,23
4682,15
4683,20
4684,22
4690,82
4700,146
4720,42
4733,22
4735,13
4736,8
4750,15
4760,56
4771,9
4772,2
4773,9
4780,37
4791,11
4792,12
4793,6
4800,78
4840,24
4850,27
4862,8
4863,14
4871,3
4872,4
4873,14
4874,8
4880,11
4891,7
4892,5
4894,5
4895,2
4900,39
4912,5
4913,12
4920,8
4930,30
4941,6
4942,1
4943,3
4944,2
4951,4
4952,3
4953,5
4960,7
4970,21
4983,6
4990,27
5000,167
5200,22
5210,61
5220,46
5230,49
5240,8
5250,85
5260,45
5270,58
5290,3
5300,39
5320,15
5330,18
5350,5
5370,2
5380,1
5390,1
5400,24
5450,40
5462,12
5463,6
5464,12
5466,7
5471,30
5474,4
5485,2
5491,12
5492,27
5500,91
5540,37
5550,17
5560,29
5580,18
5591,8
5592,10
5600,75
5602,1
5610,36
5620,34
5631,13
5642,8
5672,41
5683,30
5690,31
5700,165
5750,47
5762,19
5771,23
5772,7
5792,29
5800,58
5853,21
5854,12
5856,6
5863,3
5871,10
5874,7
5881,15
5882,8
5883,6
5884,4
5892,6
5900,27
5932,17
5935,8
5943,4
5953,26
5960,13
5970,8
5985,10
6000,209
6040,19
6051,10
6052,8
6064,9
6070,15
6091,13
6092,4
6093,5
6094,4
6100,138
6200,62
6230,18
6240,14
6261,21
6270,31
6280,9
6300,29
6310,15
6320,6
6330,14
6340,13
6360,10
6372,9
6392,4
6400,54
6430,32
6440,21
6470,26
6500,44
6510,21
6520,13
6534,7
6535,1
6541,5
6560,9
6580,45
6600,58
6621,8
6622,5
6623,7
6630,31
6640,21
6650,19
6660,2
6670,12
6682,3
6683,5
6690,5
6700,105
6705,29
6710,94
6715,32
6720,22
6731,13
6740,44
6752,2
6753,1
6760,62
6771,13
6780,19
6792,20
6800,83
6818,12
6823,9
6830,14
6840,12
6851,5
6852,1
6853,1
6855,6
6857,11
6862,9
6870,14
6880,27
6893,6
6900,43
6920,23
6933,17
6940,8
6950,46
6960,10
6971,16
6973,4
6980,8
6990,20
7000,176
7080,49
7100,180
7120,48
7130,51
7140,19
7150,8
7160,29
7171,7
7173,6
7182,17
7183,4
7184,2
7190,15
7200,43
7250,10
7260,6
7280,6
7300,23
7321,4
7323,50
7330,50
7361,9
7362,3
7400,213
7430,76
7441,11
7442,8
7451,30
7470,26
7480,17
7490,11
7500,161
7540,2
7550,6
7560,6
7570,9
7600,69
7620,49
7650,4
7660,9
7673,5
7680,13
7700,104
7730,11
7741,9
7742,3
7752,23
7755,13
7760,21
7770,13
7790,16
7800,81
7830,26
7840,15
7850,7
7860,29
7870,39
7884,2
7900,38
7950,17
7960,2
7980,4
7990,4
8000,321
8200,87
8210,33
8220,56
8230,47
8240,105
8250,58
8260,83
8270,73
8300,119
8305,35
8310,27
8320,17
8330,11
8340,28
8350,11
8355,22
8361,30
8362,39
8370,38
8380,21
8381,36
8382,38
8400,77
8410,35
8420,23
8444,5
8450,50
8462,14
8464,63
8471,23
8472,5
8500,46
8520,30
8530,18
8541,38
8543,27
8544,11
8550,13
8560,12
8570,16
8581,7
8585,11
8586,8
8600,262
8620,62
8632,10
8641,9
8643,11
8653,11
8654,10
8660,129
8670,14
8680,47
8700,277
8721,4
8722,26
8723,27
8732,17
8740,37
8751,9
8752,15
8762,2
8763,7
8765,2
8766,6
8781,1
8783,10
8789,1
8799,1
8800,209
8830,44
8831,17
8832,12
8840,13
8850,43
8860,25
8870,41
8881,20
8882,12
8883,13
8900,51
8920,93
8930,60
8940,48
8950,7
8960,70
8961,16
8963,14
8970,19
8981,16
8983,19
8990,28
9000,315
9200,43
9210,54
9220,13
9230,50
9240,56
9260,24
9270,12
9280,36
9293,14
9300,41
9310,43
9320,40
9330,45
9340,6
9352,7
9362,10
9370,38
9380,14
9381,7
9382,11
9400,83
9430,21
9440,46
9460,41
9480,45
9490,27
9492,14
9493,7
9500,104
9510,24
9520,30
9530,66
9541,10
9550,27
9560,68
9574,10
9575,14
9600,42
9610,15
9620,31
9631,7
9632,13
9640,47
9670,41
9681,16
9690,27
9700,80
9740,14
9750,11
9760,29
9800,167
9830,13
9850,44
9870,21
9881,25
9900,152
9940,12
9970,8
9981,10
9982,2
9990,58
